DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,COUNTY_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,OFFENSE_SUBCAT_ID,OFFENSE_NAME,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT
2016,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,TX1370000,Kleberg,,County,TX,Texas,West South Central,KLEBERG,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,4,0,0,0
2020,NV0120000,Nye,,County,NV,Nevada,Mountain,NYE,West,8B,"Non-MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,VA0430100,Henrico County Police Department,,County,VA,Virginia,South Atlantic,HENRICO,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2016,VA0430100,Henrico County Police Department,,County,VA,Virginia,South Atlantic,HENRICO,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,5,0,5,0
2020,VA0430100,Henrico County Police Department,,County,VA,Virginia,South Atlantic,HENRICO,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX2200000,Tarrant,,County,TX,Texas,West South Central,TARRANT,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX2200000,Tarrant,,County,TX,Texas,West South Central,TARRANT,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,MN0270000,Hennepin,,County,MN,Minnesota,West North Central,HENNEPIN,Midwest,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,3,0,1,0
2019,MN0300000,Isanti,,County,MN,Minnesota,West North Central,ISANTI,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,VA0740100,Prince George County Police Department,,County,VA,Virginia,South Atlantic,PRINCE GEORGE,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,DE0020300,New Castle County Police Department,,County,DE,Delaware,South Atlantic,NEW CASTLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0920000,Lowndes,,County,GA,Georgia,South Atlantic,LOWNDES,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0110000,Bibb,,County,GA,Georgia,South Atlantic,BIBB,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,GA0110000,Bibb,,County,GA,Georgia,South Atlantic,BIBB,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,3,0,0,0
2019,GA0280000,Cherokee,,County,GA,Georgia,South Atlantic,CHEROKEE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,GA0450000,Dodge,,County,GA,Georgia,South Atlantic,DODGE,South,8C,"Non-MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,SC0260000,Horry,,County,SC,South Carolina,South Atlantic,HORRY,South,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MD0020200,Anne Arundel County Police Department,,County,MD,Maryland,South Atlantic,ANNE ARUNDEL,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,NH0070000,Merrimack,,County,NH,New Hampshire,New England,MERRIMACK,Northeast,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,NH0070000,Merrimack,,County,NH,New Hampshire,New England,MERRIMACK,Northeast,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,TN0630000,Montgomery,,County,TN,Tennessee,East South Central,MONTGOMERY,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2014,IL0600000,Madison,,County,IL,Illinois,East North Central,MADISON,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,IL0790000,Randolph,,County,IL,Illinois,East North Central,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,MO0740000,Nodaway,,County,MO,Missouri,West North Central,NODAWAY,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,9,0,8,0
2018,FL0640000,Volusia,,County,FL,Florida,South Atlantic,VOLUSIA,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,3,0,0
2018,FL0490000,Osceola,,County,FL,Florida,South Atlantic,OSCEOLA,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,FL0500000,Palm Beach,,County,FL,Florida,South Atlantic,PALM BEACH,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2018,FL0500000,Palm Beach,,County,FL,Florida,South Atlantic,PALM BEACH,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,18,10,1,0
2017,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,3,0,2,0
2018,TX2200000,Tarrant,,County,TX,Texas,West South Central,TARRANT,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,TX2200000,Tarrant,,County,TX,Texas,West South Central,TARRANT,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,5,0,0,0
2018,TX0150000,Bexar,,County,TX,Texas,West South Central,BEXAR,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,MN0270000,Hennepin,,County,MN,Minnesota,West North Central,HENNEPIN,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,MN0850000,Winona,,County,MN,Minnesota,West North Central,WINONA,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2017,IL1010000,Winnebago,,County,IL,Illinois,East North Central,WINNEBAGO,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,FL0480000,Orange,,County,FL,Florida,South Atlantic,ORANGE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,6,0,6,0
2018,FL0510000,Pasco,,County,FL,Florida,South Atlantic,PASCO,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,3,0,3,0
2017,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,TX1250000,Jim Wells,,County,TX,Texas,West South Central,JIM WELLS,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,3,0,0,0
2014,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,LA0260000,Jefferson,,County,LA,Louisiana,West South Central,JEFFERSON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,MO0100000,Boone,,County,MO,Missouri,West North Central,BOONE,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,1
2014,TX2120000,Smith,,County,TX,Texas,West South Central,SMITH,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,1,1
2014,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2018,MI4114100,Kent,,County,MI,Michigan,East North Central,KENT,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,VA0700000,Patrick,,County,VA,Virginia,South Atlantic,PATRICK,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,VA0700000,Patrick,,County,VA,Virginia,South Atlantic,PATRICK,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,VA0870000,Southampton,,County,VA,Virginia,South Atlantic,SOUTHAMPTON,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,MONTGOMERY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,OH0570000,Montgomery,,County,OH,Ohio,East North Central,MONTGOMERY,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,WI0370000,Marathon,,County,WI,Wisconsin,East North Central,MARATHON,Midwest,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,2,0,1,0
2019,TX1160000,Hunt,,County,TX,Texas,West South Central,HUNT,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,TX1160000,Hunt,,County,TX,Texas,West South Central,HUNT,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,WI0600000,Sheboygan,,County,WI,Wisconsin,East North Central,SHEBOYGAN,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,IN0430000,Kosciusko,,County,IN,Indiana,East North Central,KOSCIUSKO,Midwest,8B,"Non-MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,NC0500000,Jackson,,County,NC,North Carolina,South Atlantic,JACKSON,South,8B,"Non-MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,MO0150000,Camden,,County,MO,Missouri,West North Central,CAMDEN,Midwest,8B,"Non-MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,MN0460000,Martin,,County,MN,Minnesota,West North Central,MARTIN,Midwest,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,MN0270000,Hennepin,,County,MN,Minnesota,West North Central,HENNEPIN,Midwest,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,1,0,2,0
2017,TN0350000,Hardeman,,County,TN,Tennessee,East South Central,HARDEMAN,South,8C,"Non-MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,0,0
2017,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,4,0,4,0
2017,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,MONTGOMERY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,4,0
2015,MN0020000,Anoka,,County,MN,Minnesota,West North Central,ANOKA,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,4,0,0,0
2019,CO0310000,Kiowa,,County,CO,Colorado,Mountain,KIOWA,West,8D,"Non-MSA counties under 10,000",81,Human Trafficking,Commercial Sex Acts,2,0,2,0
2019,CO0310000,Kiowa,,County,CO,Colorado,Mountain,KIOWA,West,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,MI3313300,Ingham,,County,MI,Michigan,East North Central,INGHAM,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,2,0,2,2
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,2,0,1,0
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,3,0,4,1
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,1,1
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,4,0,4,1
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,TX2400000,Webb,,County,TX,Texas,West South Central,WEBB,South,9D,"MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,1,1
2018,KY0020000,Allen,,County,KY,Kentucky,East South Central,ALLEN,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,KY0020000,Allen,,County,KY,Kentucky,East South Central,ALLEN,South,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,TX0150000,Bexar,,County,TX,Texas,West South Central,BEXAR,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2020,GA1070000,Newton,,County,GA,Georgia,South Atlantic,NEWTON,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,GA0920000,Lowndes,,County,GA,Georgia,South Atlantic,LOWNDES,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,9,0,8,0
2019,NB0280000,Douglas,,County,NB,Nebraska,West North Central,DOUGLAS,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0380000,Coweta,,County,GA,Georgia,South Atlantic,COWETA,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0310100,Clayton County Police Department,,County,GA,Georgia,South Atlantic,CLAYTON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,MD0020200,Anne Arundel County Police Department,,County,MD,Maryland,South Atlantic,ANNE ARUNDEL,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,3,0,1,0
2020,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,MD0020200,Anne Arundel County Police Department,,County,MD,Maryland,South Atlantic,ANNE ARUNDEL,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,GA0310100,Clayton County Police Department,,County,GA,Georgia,South Atlantic,CLAYTON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,GA0310100,Clayton County Police Department,,County,GA,Georgia,South Atlantic,CLAYTON,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,GA0340000,Coffee,,County,GA,Georgia,South Atlantic,COFFEE,South,8B,"Non-MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,MI3913900,Kalamazoo,,County,MI,Michigan,East North Central,KALAMAZOO,Midwest,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2014,CO0300000,Jefferson,,County,CO,Colorado,Mountain,JEFFERSON,West,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,MN0020000,Anoka,,County,MN,Minnesota,West North Central,ANOKA,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,MN0100000,Carver,,County,MN,Minnesota,West North Central,CARVER,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TN0790000,Shelby,,County,TN,Tennessee,East South Central,SHELBY,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TN0290000,Grainger,,County,TN,Tennessee,East South Central,GRAINGER,South,9C,"MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,MN0600000,Polk,,County,MN,Minnesota,West North Central,POLK,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,CO0180000,Douglas,,County,CO,Colorado,Mountain,DOUGLAS,West,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,TN0240000,Fayette,,County,TN,Tennessee,East South Central,FAYETTE,South,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,MN0100000,Carver,,County,MN,Minnesota,West North Central,CARVER,Midwest,9B,"MSA counties from 25,000 thru 99,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,OH0020000,Allen,,County,OH,Ohio,East North Central,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",82,Human Trafficking,Involuntary Servitude,1,0,1,1
2015,OH0020000,Allen,,County,OH,Ohio,East North Central,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,MD0140100,Howard County Police Department,,County,MD,Maryland,South Atlantic,HOWARD,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX0150000,Bexar,,County,TX,Texas,West South Central,BEXAR,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,1,0,1,0
2015,SC0230000,Greenville,,County,SC,South Carolina,South Atlantic,GREENVILLE,South,9A,"MSA counties 100,000 or over",81,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",82,Human Trafficking,Involuntary Servitude,3,0,0,0
2017,TN0570000,Madison,,County,TN,Tennessee,East South Central,MADISON,South,9B,"MSA counties from 25,000 thru 99,999",82,Human Trafficking,Involuntary Servitude,1,0,0,0
